Object1,Object2,Dissimdist,Relationship,Traffic
paypal,costco,0.8055417528,,
gm,paypal,0.8055622837,,
caterpillar,c.shalegas,0.8055725057,,
priceline,netflix,0.8056040809,,
p.uber,c.internetofthings,0.8056633737,,
allergan,intel,0.8056792327,,
dellemc,nike,0.8057402242,,
apple,biogen,0.8057454201,,
metlife,fordmotor,0.805751575,,
p.uber,goldmansachs,0.8057693921,,
amazon,lendingclub,0.8057748163,,
ibm,p.hulu,0.8058030907,,
morganstanley,c.mbs,0.8058376906,,
lowes,unionpacific,0.8058645792,,
mastercard,tesla,0.8058849681,,
johnsonandjohnson,amex,0.8058995788,,
goldmansachs,cisco,0.8059140149,,
starbucks,c.bailout,0.8059165495,,
dowchemical,bofa,0.8059210864,,
altria,simonprop,0.8059415943,,
celgene,dellemc,0.8059698501,,
twentycenturyfox,unitedhealth,0.8059907799,,
goldmansachs,biogen,0.8060151717,,
pepsico,att,0.8060625292,,
gm,c.mbs,0.8060750659,,
amex,elilily,0.8060818943,,
mastercard,walmart,0.8060897957,,
danaher,walgreens,0.8061086044,,
c.virtualreality,elilily,0.806141716,,
priceline,medtronic,0.8061559499,,
amex,mcdonalds,0.8061565087,,
mastercard,facebook,0.8061806544,,
costco,dupont,0.8062007133,,
comcast,merckandco,0.8062309378,,
boeing,waltdisney,0.8062563637,,
johnsonandjohnson,morganstanley,0.8062794985,,
philipmorrisint,ups,0.8062955715,,
citigroup,c.saas,0.8063033746,,
allergan,morganstanley,0.8063500222,,
priceline,fedex,0.8063560519,,
amex,dupont,0.8063888886,,
bankofnewyork,mcdonalds,0.8064132888,,
homedepot,visa,0.8064358674,,
mastercard,p.hulu,0.8064477058,,
priceline,wellsfargo,0.8064969227,,
cvs,mcdonalds,0.8065106951,,
starbucks,mastercard,0.8065288141,,
occidentalpetrol,waltdisney,0.8065795547,,
amex,p.hulu,0.8066184148,,
halliburton,fedex,0.8066218995,,
lendingclub,walmart,0.8066300792,,
microsoft,c.selfdriving,0.8066659195,,
netflix,walmart,0.8066868828,,
aig,unitedtech,0.8066936008,,
lockheedmartin,c.selfdriving,0.8067006935,,
apple,lockheedmartin,0.8067142195,,
apple,unitedhealth,0.8067617145,,
pepsico,unitedtech,0.8067759574,,
chevron,wellsfargo,0.8068196745,,
target,medtronic,0.8068853941,,
ups,c.shalegas,0.8069222538,,
celgene,boeing,0.8069263959,,
metlife,c.mbs,0.8069680794,,
caterpillar,oracle,0.8069748117,,
priceline,bofa,0.8070229992,,
honeywell,fordmotor,0.8070336793,,
raytheon,visa,0.8070660868,,
capitalone,generaldynamics,0.8072105614,,
celgene,occidentalpetrol,0.8073185564,,
p.uber,jpmchase,0.8073218527,,
att,unitedhealth,0.8073298734,,
raytheon,bofa,0.8073310997,,
accenture,comcast,0.8073406258,,
celgene,lockheedmartin,0.8073569366,,
aig,lowes,0.8074134415,,
cisco,jpmchase,0.8074789459,,
comcast,emersonelectric,0.8074924248,,
intel,unitedhealth,0.8075239989,,
amazon,waltdisney,0.8075903105,,
p.uber,mcdonalds,0.8076021512,,
gilead,lowes,0.807607021,,
lendingclub,exxonmobil,0.8076532836,,
celgene,emersonelectric,0.8076939908,,
allstate,c.internetofthings,0.8076944157,,
allstate,walgreens,0.8077097991,,
capitalone,lowes,0.8077164465,,
celgene,dowchemical,0.8077360324,,
simonprop,generaldynamics,0.8077597504,,
pfizer,amex,0.807781733,,
jpmchase,waltdisney,0.8078327082,,
accenture,target,0.807855937,,
amgen,comcast,0.807862166,,
morganstanley,walmart,0.8078748094,,
dukeenergy,c.shalegas,0.8079582497,,
raytheon,starbucks,0.8079642666,,
lockheedmartin,target,0.8079740333,,
pepsico,mastercard,0.807985597,,
kindermorgan,dupont,0.8080131963,,
mastercard,dupont,0.8080250631,,
accenture,walmart,0.8080492469,,
mcdonalds,c.selfdriving,0.8080518763,,
qualcomm,walgreens,0.8080573368,,
qualcomm,jpmchase,0.8080729447,,
priceline,c.selfdriving,0.808100757,,
bristolmyerssquibb,exelon,0.8081032357,,
caterpillar,celgene,0.8081167611,,
berkshirehathaway,unionpacific,0.8081261869,,
gilead,homedepot,0.8081305946,,
altria,amgen,0.808157374,,
honeywell,waltdisney,0.8081995837,,
chevron,cisco,0.808225909,,
ups,exelon,0.8082309668,,
gilead,netflix,0.8082505557,,
amazon,biogen,0.8082988394,,
bankofnewyork,walmart,0.8083929482,,
lendingclub,dupont,0.8084045524,,
qualcomm,starbucks,0.8084699831,,
p.uber,metlife,0.8084768112,,
timewarner,bofa,0.808488793,,
lendingclub,costco,0.8084918356,,
pfizer,fordmotor,0.8084922613,,
twentycenturyfox,dowchemical,0.8085014229,,
metlife,unionpacific,0.808544074,,
altria,unitedtech,0.8085540234,,
schlumberger,p.hulu,0.8085896257,,
3m,c.videoondemand,0.8085969879,,
homedepot,unitedhealth,0.8086102925,,
bristolmyerssquibb,mobileye,0.8086118759,,
cisco,occidentalpetrol,0.8086686989,,
gm,c.saas,0.8086835537,,
alphabet,ups,0.8086886906,,
alphabet,conocophillips,0.8087152489,,
nike,walgreens,0.8087171808,,
abbott,paypal,0.8087321107,,
dellemc,twentycenturyfox,0.8087324531,,
c.orphandrug,ge,0.8087634996,,
intel,lockheedmartin,0.8087651914,,
goldmansachs,mobileye,0.8088079184,,
cocacola,facebook,0.808808695,,
caterpillar,netflix,0.8088652036,,
alphabet,generaldynamics,0.8088899569,,
comcast,apple,0.8089270488,,
unionpacific,verizon,0.8089319454,,
halliburton,unitedtech,0.8089491412,,
ibm,lendingclub,0.8089538509,,
intel,danaher,0.8089618284,,
nike,generaldynamics,0.808973162,,
mondelez,p.hulu,0.8089830062,,
cisco,southernco,0.8089940506,,
colgate-palmolive,dukeenergy,0.8090508928,,
bankofnewyork,timewarner,0.8090739669,,
ups,waltdisney,0.8090803406,,
c.virtualreality,nvidia,0.8092216006,,
southernco,nike,0.8092227247,,
tesla,morganstanley,0.8092657873,,
qualcomm,schlumberger,0.8093055532,,
unitedtech,c.bailout,0.8093795333,,
visa,c.mbs,0.8094073885,,
mcdonalds,timewarner,0.8094228314,,
qualcomm,occidentalpetrol,0.8094459894,,
aig,homedepot,0.8094587764,,
gilead,c.virtualreality,0.8094851269,,
ibm,mastercard,0.8095633505,,
caterpillar,dukeenergy,0.8095684072,,
priceline,qualcomm,0.8096046726,,
amgen,walmart,0.809612999,,
colgate-palmolive,visa,0.8096617034,,
celgene,altria,0.8096634758,,
goldmansachs,twentycenturyfox,0.8096693549,,
costco,netflix,0.8096842879,,
simonprop,twentycenturyfox,0.8097277306,,
raytheon,costco,0.8097320373,,
chevron,alphabet,0.8098070311,,
dellemc,facebook,0.8098227572,,
comcast,morganstanley,0.8098291453,,
medtronic,timewarner,0.8098462555,,
amgen,ups,0.8098488606,,
timewarner,c.internetofthings,0.809872224,,
abbvie,bofa,0.8098733304,,
aig,celgene,0.8098840585,,
conocophillips,tesla,0.8098905255,,
honeywell,bankofnewyork,0.8099121971,,
lockheedmartin,timewarner,0.8099165173,,
bankofnewyork,netflix,0.8099181943,,
twentycenturyfox,generaldynamics,0.8099189313,,
medtronic,walgreens,0.8099546741,,
amazon,bankofnewyork,0.8099787029,,
abbott,amex,0.8099842162,,
chevron,p.hulu,0.8100029073,,
cisco,tesla,0.8100092021,,
gm,c.shalegas,0.8100386907,,
berkshirehathaway,c.internetofthings,0.8100796866,,
unitedhealth,fedex,0.8100947733,,
qualcomm,amgen,0.8101075269,,
capitalone,conocophillips,0.8101688708,,
target,waltdisney,0.8101798744,,
ibm,bofa,0.8101848454,,
caterpillar,visa,0.8102438917,,
intel,merckandco,0.8102923066,,
caterpillar,p.hulu,0.8102978082,,
c.mbs,wellsfargo,0.8103169589,,
altria,mcdonalds,0.8103273727,,
accenture,cisco,0.8103343786,,
pfizer,lendingclub,0.8103351407,,
conocophillips,bofa,0.8103402507,,
jpmchase,facebook,0.8103442306,,
berkshirehathaway,visa,0.8103502396,,
paypal,unitedhealth,0.8104125712,,
lendingclub,mastercard,0.8104241415,,
qualcomm,walmart,0.8104895547,,
merckandco,walgreens,0.8104895682,,
metlife,facebook,0.8105777965,,
halliburton,exelon,0.810589148,,
bofa,dupont,0.8106621065,,
c.internetofthings,nike,0.8106955688,,
gm,kindermorgan,0.8107058453,,
cocacola,visa,0.8107113906,,
allstate,waltdisney,0.8107189497,,
p.uber,p.hulu,0.8107219752,,
mondelez,netflix,0.8107285733,,
amex,lowes,0.8107983452,,
qualcomm,visa,0.8107998046,,
allstate,mastercard,0.810801279,,
raytheon,unionpacific,0.810835416,,
accenture,timewarner,0.8108387498,,
ibm,unionpacific,0.8108891802,,
chevron,netflix,0.810909222,,
c.virtualreality,c.electricvehicle,0.810911084,,
pepsico,morganstanley,0.8109217133,,
boeing,unionpacific,0.810921807,,
walgreens,fedex,0.8109792087,,
paypal,halliburton,0.81103631,,
citigroup,exelon,0.8110375281,,
altria,walmart,0.8110420494,,
tesla,timewarner,0.8110553342,,
amex,microsoft,0.8111030166,,
c.virtualreality,lockheedmartin,0.8111155348,,
unitedtech,oracle,0.8111362036,,
cisco,boeing,0.8111601806,,
allergan,ups,0.8112051652,,
raytheon,fordmotor,0.8112093973,,
lendingclub,wellsfargo,0.8112155643,,
exxonmobil,p.hulu,0.8112570821,,
halliburton,mastercard,0.8112951887,,
emersonelectric,exelon,0.8113322691,,
paypal,c.saas,0.8113390013,,
amgen,twentycenturyfox,0.8113614492,,
allergan,qualcomm,0.8113739997,,
celgene,target,0.8114153101,,
qualcomm,merckandco,0.8114518627,,
comcast,lowes,0.8115176992,,
dukeenergy,emersonelectric,0.8115242183,,
cvs,boeing,0.8115435074,,
simonprop,bankofnewyork,0.8115488542,,
p.uber,allstate,0.8115634947,,
paypal,c.internetofthings,0.8115749012,,
celgene,timewarner,0.8115821008,,
raytheon,netflix,0.8116205794,,
abbvie,netflix,0.8116272014,,
lendingclub,elilily,0.8116466283,,
biogen,unitedtech,0.8116810702,,
goldmansachs,costco,0.8116981632,,
microsoft,fordmotor,0.8117044598,,
homedepot,unionpacific,0.811734111,,
colgate-palmolive,simonprop,0.811746301,,
unitedhealth,wellsfargo,0.8117577678,,
3m,c.electricvehicle,0.8117653116,,
simonprop,danaher,0.8117832212,,
celgene,verizon,0.811784398,,
mastercard,mondelez,0.8117898823,,
medtronic,nike,0.8117961593,,
medtronic,walmart,0.8118001225,,
c.machinelearning,c.saas,0.8119450258,,
accenture,bankofnewyork,0.8119649374,,
aig,cisco,0.8119923373,,
alphabet,merckandco,0.8120335248,,
capitalone,facebook,0.8120388097,,
unitedhealth,oracle,0.8120484706,,
lowes,netflix,0.8120942767,,
cisco,netflix,0.8121940068,,
visa,p.hulu,0.8122140031,,
3m,blackrock,0.8122203577,,
c.virtualreality,unionpacific,0.8122260499,,
att,dowchemical,0.812245397,,
apple,fordmotor,0.812249065,,
medtronic,c.orphandrug,0.8122520092,,
amex,conocophillips,0.8122586281,,
apple,nvidia,0.8122870746,,
paypal,mcdonalds,0.8123111031,,
allstate,costco,0.8123709578,,
lowes,p.hulu,0.8123858142,,
dowchemical,netflix,0.8123978324,,
accenture,intel,0.8124260039,,
p.uber,boeing,0.8124310125,,
allergan,walmart,0.8124333495,,
allergan,att,0.8124408283,,
homedepot,medtronic,0.8124736681,,
berkshirehathaway,fedex,0.8124811297,,
comcast,biogen,0.8124869068,,
intel,walmart,0.8124948569,,
celgene,qualcomm,0.8124986112,,
paypal,exxonmobil,0.8125321538,,
medtronic,morganstanley,0.8125450194,,
homedepot,elilily,0.8125471673,,
p.uber,southernco,0.8125866247,,
dellemc,walgreens,0.8126209361,,
lockheedmartin,mcdonalds,0.8126816599,,
target,biogen,0.8126948425,,
alphabet,raytheon,0.8127023527,,
alphabet,unitedhealth,0.8127045509,,
p.uber,chevron,0.8127422671,,
halliburton,facebook,0.8127742238,,
png,wellsfargo,0.8127856155,,
kindermorgan,bristolmyerssquibb,0.8128199683,,
berkshirehathaway,oracle,0.8128545242,,
aig,intel,0.8128813035,,
capitalone,fedex,0.8129059089,,
abbvie,waltdisney,0.8129100139,,
abbvie,unitedtech,0.8129228347,,
amex,dellemc,0.8129245852,,
aig,wellsfargo,0.8129393917,,
halliburton,amex,0.8130014229,,
colgate-palmolive,lendingclub,0.8131099841,,
abbott,costco,0.8131204976,,
c.virtualreality,merckandco,0.8131229049,,
lendingclub,verizon,0.8131321048,,
target,facebook,0.8131626396,,
altria,nike,0.8131875363,,
goldmansachs,nike,0.8132071647,,
amex,verizon,0.8132292634,,
kindermorgan,dowchemical,0.8132391789,,
c.videoondemand,walgreens,0.8132744587,,
morganstanley,facebook,0.8132761659,,
costco,unitedhealth,0.8133264223,,
simonprop,target,0.8133326824,,
pfizer,alphabet,0.8133482833,,
p.uber,netflix,0.8133949636,,
southernco,walgreens,0.8133965778,,
boeing,morganstanley,0.8134093511,,
paypal,pfizer,0.8134153077,,
pepsico,netflix,0.8134502468,,
philipmorrisint,walgreens,0.8134736475,,
simonprop,conocophillips,0.8134811186,,
c.videoondemand,paypal,0.8134852774,,
allstate,cisco,0.8135006821,,
verizon,waltdisney,0.8135066885,,
qualcomm,timewarner,0.8135086273,,
target,danaher,0.8135091832,,
c.virtualreality,starbucks,0.8135617561,,
chevron,facebook,0.8135648104,,
colgate-palmolive,kindermorgan,0.8135807083,,
accenture,c.internetofthings,0.8135885766,,
dowchemical,facebook,0.8136568102,,
schlumberger,kindermorgan,0.8136757639,,
unitedhealth,nike,0.8136772707,,
p.uber,apple,0.8136922863,,
qualcomm,comcast,0.8137399796,,
walmart,generaldynamics,0.8137807227,,
att,timewarner,0.8137966593,,
paypal,berkshirehathaway,0.8138018763,,
microsoft,fedex,0.813872219,,
exxonmobil,facebook,0.8138948843,,
texasinstrument,bofa,0.8139036807,,
philipmorrisint,cocacola,0.8139437807,,
starbucks,merckandco,0.8139451119,,
paypal,target,0.8139502685,,
berkshirehathaway,mobileye,0.8139856243,,
exxonmobil,wellsfargo,0.8139991477,,
priceline,starbucks,0.814059465,,
jpmchase,walgreens,0.8140756517,,
celgene,c.bailout,0.814119319,,
gm,wellsfargo,0.8141194088,,
apple,visa,0.814136477,,
dupont,visa,0.8141627946,,
capitalone,intel,0.8142422457,,
paypal,aig,0.8142476236,,
boeing,c.selfdriving,0.8142905971,,
homedepot,nike,0.8142963757,,
lowes,c.bailout,0.8143153899,,
goldmansachs,qualcomm,0.81431979,,
mcdonalds,waltdisney,0.8143951042,,
p.uber,exxonmobil,0.8143952944,,
c.virtualreality,capitalone,0.8144225811,,
capitalone,cisco,0.8144410401,,
aig,p.hulu,0.8144596409,,
exelon,verizon,0.8144769786,,
starbucks,facebook,0.8144918832,,
c.bailout,nike,0.8145111605,,
priceline,alphabet,0.8145154718,,
accenture,twentycenturyfox,0.8145195055,,
berkshirehathaway,dukeenergy,0.8145288199,,
jpmchase,c.internetofthings,0.8145466177,,
alphabet,verizon,0.8146406582,,
amex,boeing,0.8147250323,,
c.videoondemand,fedex,0.8147531758,,
halliburton,waltdisney,0.8147819966,,
cisco,morganstanley,0.8148842485,,
pepsico,visa,0.8148997568,,
johnsonandjohnson,costco,0.8149362253,,
halliburton,dukeenergy,0.8149719074,,
walmart,p.hulu,0.81498782,,
p.uber,unionpacific,0.815001813,,
amgen,morganstanley,0.8150074415,,
mastercard,boeing,0.815041809,,
capitalone,medtronic,0.8150657268,,
comcast,bofa,0.8150878902,,
schlumberger,starbucks,0.8150931959,,
att,generaldynamics,0.8151030324,,
johnsonandjohnson,facebook,0.8151231307,,
starbucks,netflix,0.8151566784,,
amazon,att,0.8152005949,,
cvs,unitedtech,0.8152380277,,
tesla,c.mbs,0.815246378,,
p.uber,dupont,0.8153206449,,
merckandco,morganstanley,0.8153254946,,
southernco,starbucks,0.8153290661,,
halliburton,visa,0.8153401781,,
abbott,mastercard,0.8153617459,,
verizon,wellsfargo,0.8153626724,,
aig,att,0.8153762413,,
abbvie,fordmotor,0.8154003879,,
abbott,wellsfargo,0.815402393,,
conocophillips,nexteraenergy,0.8154202265,,
abbvie,starbucks,0.8154390772,,
c.internetofthings,nvidia,0.8154581228,,
p.uber,qualcomm,0.8154625186,,
celgene,bankofnewyork,0.8154959956,,
tesla,visa,0.8155205182,,
lowes,c.internetofthings,0.8155285668,,
paypal,mondelez,0.8155298661,,
p.uber,schlumberger,0.8155689437,,
dupont,exelon,0.8156223021,,
fordmotor,occidentalpetrol,0.8156520401,,
kindermorgan,ups,0.8156760119,,
mastercard,dellemc,0.8156847018,,
starbucks,c.internetofthings,0.8157029285,,
pepsico,dukeenergy,0.8157359353,,
c.videoondemand,c.selfdriving,0.8157436695,,
lendingclub,unitedhealth,0.8157445533,,
att,c.internetofthings,0.8157728653,,
bankofnewyork,danaher,0.8158171623,,
blackrock,metlife,0.8158270061,,
bankofnewyork,waltdisney,0.8158417378,,
danaher,oracle,0.8158523547,,
intel,bankofnewyork,0.8158795889,,
amazon,fedex,0.8159980833,,
pepsico,c.shalegas,0.8160041388,,
morganstanley,p.hulu,0.8160228508,,
altria,apple,0.8160543585,,
att,c.bailout,0.8161215921,,
chevron,simonprop,0.8161305991,,
homedepot,morganstanley,0.8161402161,,
apple,morganstanley,0.8162009214,,
walgreens,c.saas,0.8162429665,,
pfizer,costco,0.8162499401,,
c.bailout,facebook,0.8162659555,,
honeywell,c.electricvehicle,0.816283276,,
abbott,c.virtualreality,0.8162845195,,
allergan,target,0.8163048389,,
homedepot,dellemc,0.8163070284,,
intel,p.hulu,0.8163074528,,
abbvie,mcdonalds,0.8163145438,,
schlumberger,fordmotor,0.8163201778,,
halliburton,twentycenturyfox,0.8163491834,,
allergan,waltdisney,0.8163641522,,
honeywell,costco,0.8163720346,,
alphabet,timewarner,0.8164024761,,
priceline,cisco,0.8164168405,,
c.virtualreality,danaher,0.816419912,,
p.uber,capitalone,0.8164388084,,
capitalone,twentycenturyfox,0.8164469398,,
homedepot,netflix,0.8164690364,,
c.videoondemand,apple,0.8164799858,,
netflix,visa,0.816483324,,
costco,exxonmobil,0.8165108258,,
schlumberger,dukeenergy,0.8165269849,,
intel,mastercard,0.8165524764,,
amex,timewarner,0.8165525613,,
pepsico,unionpacific,0.8166101995,,
pepsico,oracle,0.8166237836,,
c.internetofthings,walmart,0.8166563756,,
cvs,bofa,0.8167005741,,
texasinstrument,c.shalegas,0.8167035743,,
mastercard,occidentalpetrol,0.8167693179,,
allergan,mcdonalds,0.8167783633,,
cocacola,unionpacific,0.8168024709,,
honeywell,amex,0.8168278562,,
biogen,nike,0.8168386154,,
merckandco,bofa,0.8168648745,,
apple,oracle,0.8168824857,,
comcast,tesla,0.816899582,,
tesla,waltdisney,0.8169300192,,
berkshirehathaway,blackrock,0.8169371234,,
jpmchase,exelon,0.8169523526,,
johnsonandjohnson,visa,0.8170466183,,
paypal,chevron,0.8170524991,,
dowchemical,unionpacific,0.8170550334,,
lendingclub,texasinstrument,0.8170642232,,
png,exelon,0.8170903405,,
altria,medtronic,0.8171054298,,
p.uber,mastercard,0.8171183716,,
homedepot,comcast,0.8171315201,,
johnsonandjohnson,netflix,0.8171440621,,
p.uber,pfizer,0.8171581118,,
gm,c.orphandrug,0.8171602932,,
qualcomm,att,0.8171813196,,
caterpillar,facebook,0.8172013169,,
abbott,nvidia,0.8172065971,,
dowchemical,visa,0.8172103768,,
lowes,timewarner,0.8172254247,,
mcdonalds,c.saas,0.8172388731,,
target,bofa,0.8172499571,,
jpmchase,fedex,0.8172961725,,
accenture,amgen,0.8173370106,,
pfizer,oracle,0.8173506253,,
intel,starbucks,0.8173539235,,
twentycenturyfox,waltdisney,0.8174065624,,
dupont,oracle,0.817420788,,
unionpacific,walmart,0.8174238838,,
aig,nike,0.8174393243,,
colgate-palmolive,bofa,0.8174504284,,
c.virtualreality,metlife,0.8174571653,,
dellemc,waltdisney,0.8174665093,,
capitalone,lockheedmartin,0.8174749201,,
altria,bofa,0.8174873664,,
johnsonandjohnson,simonprop,0.8174952793,,
emersonelectric,p.hulu,0.8175226175,,
southernco,waltdisney,0.8175547637,,
chevron,lendingclub,0.8175689816,,
conocophillips,unitedtech,0.8175732609,,
allstate,fordmotor,0.8175995478,,
colgate-palmolive,facebook,0.8176517426,,
mastercard,berkshirehathaway,0.8176667542,,
texasinstrument,c.orphandrug,0.817709016,,
schlumberger,mastercard,0.8177717417,,
p.uber,target,0.8178474709,,
paypal,morganstanley,0.8178542717,,
lockheedmartin,att,0.8179019685,,
lowes,emersonelectric,0.8179366963,,
abbott,p.hulu,0.817942581,,
lowes,mastercard,0.8179477259,,
intel,facebook,0.8180689778,,
chevron,costco,0.8180727255,,
mastercard,merckandco,0.8181147089,,
abbott,netflix,0.8181344568,,
mastercard,nike,0.8181866773,,
lockheedmartin,walmart,0.818193839,,
p.uber,c.bailout,0.8182268848,,
biogen,ups,0.8182281051,,
priceline,lockheedmartin,0.8182285865,,
mastercard,netflix,0.81828376,,
cisco,walgreens,0.8183090542,,
exxonmobil,oracle,0.8183215222,,
c.virtualreality,exxonmobil,0.8183566546,,
priceline,unionpacific,0.8183656056,,
costco,p.hulu,0.8184097207,,
c.streamingmedia,microsoft,0.8184163029,,
nike,waltdisney,0.8184269443,,
caterpillar,att,0.818431894,,
pepsico,facebook,0.8184602996,,
c.virtualreality,verizon,0.8184798891,,
p.uber,raytheon,0.818500483,,
p.uber,mondelez,0.8185184611,,
dellemc,bofa,0.8185284019,,
cisco,facebook,0.8185536416,,
homedepot,bofa,0.8185603799,,
medtronic,c.selfdriving,0.8185613119,,
mcdonalds,fedex,0.818607283,,
metlife,exelon,0.8186421555,,
p.uber,c.saas,0.8186743749,,
schlumberger,exelon,0.8186899688,,
gilead,simonprop,0.8187714502,,
c.virtualreality,halliburton,0.8187715626,,
costco,verizon,0.8188468993,,
accenture,p.hulu,0.8188486374,,
lowes,morganstanley,0.8188878544,,
alphabet,occidentalpetrol,0.8189118574,,
alphabet,danaher,0.8189165304,,
caterpillar,bofa,0.8189259586,,
visa,occidentalpetrol,0.8189405651,,
paypal,johnsonandjohnson,0.8189612562,,
p.uber,paypal,0.8189914452,,
c.virtualreality,goldmansachs,0.8190103468,,
paypal,priceline,0.819014566,,
biogen,walmart,0.8190309207,,
abbvie,homedepot,0.819048211,,
abbott,oracle,0.8190549378,,
facebook,occidentalpetrol,0.8190557767,,
amex,comcast,0.8190578787,,
unitedhealth,c.saas,0.8190849302,,
lockheedmartin,bankofnewyork,0.8191362851,,
homedepot,generaldynamics,0.8191964708,,
pfizer,wellsfargo,0.8192176621,,
allergan,lendingclub,0.8192240179,,
citigroup,c.selfdriving,0.8192319725,,
priceline,visa,0.81924747,,
unitedtech,verizon,0.8192526632,,
elilily,oracle,0.8193003152,,
abbvie,att,0.8193003721,,
capitalone,emersonelectric,0.819313667,,
comcast,nike,0.8193358181,,
p.uber,cocacola,0.8193691173,,
amgen,starbucks,0.8193996395,,
schlumberger,visa,0.8194303504,,
cocacola,simonprop,0.8194365095,,
paypal,schlumberger,0.8194375871,,
priceline,att,0.8194802501,,
schlumberger,costco,0.8195712045,,
c.internetofthings,occidentalpetrol,0.8196215427,,
lowes,dellemc,0.8196363688,,
gilead,kindermorgan,0.8196482948,,
c.virtualreality,occidentalpetrol,0.8196647298,,
c.virtualreality,walgreens,0.8196899217,,
apple,cvs,0.8197322722,,
att,merckandco,0.81974363,,
unionpacific,fedex,0.8197462565,,
aig,netflix,0.819759059,,
p.uber,priceline,0.8197917216,,
c.virtualreality,timewarner,0.8197968048,,
qualcomm,conocophillips,0.8198153217,,
amazon,danaher,0.8198400084,,
caterpillar,exelon,0.8198563707,,
c.virtualreality,jpmchase,0.8198589895,,
honeywell,visa,0.8198610551,,
costco,elilily,0.8198614047,,
dukeenergy,ups,0.8198824569,,
goldmansachs,emersonelectric,0.8198926486,,
merckandco,p.hulu,0.819934595,,
schlumberger,lendingclub,0.819937269,,
goldmansachs,danaher,0.8199517566,,
medtronic,p.hulu,0.8199558821,,
gilead,att,0.8199863952,,
johnsonandjohnson,bofa,0.820012426,,
lendingclub,p.hulu,0.8200279659,,
simonprop,cvs,0.8200342711,,
aig,waltdisney,0.8200782435,,
timewarner,walmart,0.8201399612,,
p.uber,walmart,0.8201400902,,
cisco,c.bailout,0.8201440229,,
comcast,medtronic,0.8201704814,,
gilead,p.hulu,0.8201909379,,
accenture,tesla,0.8201966986,,
simonprop,bofa,0.8201981996,,
p.uber,bankofnewyork,0.8202013761,,
costco,occidentalpetrol,0.820250828,,
starbucks,waltdisney,0.8202691845,,
allergan,lowes,0.8202930955,,
johnsonandjohnson,oracle,0.8203261149,,
starbucks,unitedhealth,0.8203349215,,
intel,conocophillips,0.820371295,,
amex,nike,0.8203954216,,
paypal,cocacola,0.8204148944,,
aig,costco,0.8204190171,,
raytheon,c.saas,0.8204378854,,
netflix,c.saas,0.8204483611,,
p.uber,unitedhealth,0.8204577982,,
texasinstrument,fedex,0.8204601425,,
lockheedmartin,lowes,0.8205023469,,
timewarner,nike,0.8205153415,,
amex,starbucks,0.8205401207,,
philipmorrisint,johnsonandjohnson,0.8206111843,,
aig,starbucks,0.820639361,,
colgate-palmolive,unionpacific,0.8206589414,,
p.uber,pepsico,0.8206786585,,
merckandco,netflix,0.8207002151,,
raytheon,simonprop,0.8207239789,,
paypal,dupont,0.8207381343,,
aig,alphabet,0.8207737563,,
mondelez,facebook,0.8208017292,,
amex,netflix,0.8208245841,,
allergan,unitedtech,0.8208276632,,
homedepot,intel,0.8208367967,,
boeing,visa,0.8208907054,,
simonprop,comcast,0.8208994883,,
timewarner,walgreens,0.8209221232,,
bankofnewyork,occidentalpetrol,0.8209340652,,
p.uber,abbott,0.8209350797,,
elilily,netflix,0.8209572826,,
amex,lendingclub,0.8209756536,,
pfizer,mobileye,0.8209857648,,
occidentalpetrol,wellsfargo,0.8209934913,,
tesla,unitedtech,0.8211806407,,
honeywell,starbucks,0.8212014237,,
bofa,walmart,0.8212101701,,
goldmansachs,southernco,0.8212241126,,
starbucks,bankofnewyork,0.8212290937,,
tesla,biogen,0.8212910097,,
unionpacific,microsoft,0.8213740594,,
mondelez,visa,0.8213831429,,
facebook,walmart,0.8213931665,,
bankofnewyork,texasinstrument,0.8214276861,,
emersonelectric,morganstanley,0.8214288811,,
allergan,c.orphandrug,0.8214427105,,
colgate-palmolive,oracle,0.8214456366,,
exxonmobil,nexteraenergy,0.8214953359,,
gilead,facebook,0.821509246,,
starbucks,visa,0.8215205629,,
simonprop,morganstanley,0.8215635972,,
lockheedmartin,nike,0.8215638423,,
occidentalpetrol,p.hulu,0.8215771392,,
abbott,philipmorrisint,0.8215912921,,
mobileye,nvidia,0.8216191341,,
cisco,target,0.8216534808,,
celgene,comcast,0.8216536618,,
pepsico,lendingclub,0.8217169797,,
abbott,dukeenergy,0.8217330942,,
conocophillips,starbucks,0.8217491408,,
amgen,waltdisney,0.8217846671,,
metlife,oracle,0.8218167732,,
abbott,facebook,0.8218246431,,
c.bailout,netflix,0.8218289884,,
altria,amex,0.8218391257,,
lendingclub,usbancorp,0.8219273453,,
amazon,twentycenturyfox,0.8220039865,,
target,morganstanley,0.8220108415,,
accenture,att,0.8220581734,,
cisco,c.selfdriving,0.8220662441,,
c.virtualreality,oracle,0.8221303685,,
intel,timewarner,0.8221325014,,
priceline,facebook,0.8221649599,,
twentycenturyfox,emersonelectric,0.8221664453,,
p.uber,berkshirehathaway,0.8221701118,,
amex,biogen,0.8221921535,,
lendingclub,microsoft,0.8222092294,,
morganstanley,netflix,0.8222239847,,
c.virtualreality,schlumberger,0.8222852579,,
paypal,colgate-palmolive,0.8223031908,,
raytheon,fedex,0.8223131081,,
apple,c.selfdriving,0.8223160968,,
paypal,p.hulu,0.8223167624,,
